close,forecast
121.11,144.24185372114178
121.11,144.24185372114178
121.11,144.24185372114178
121.11,141.62247674584387
121.11,142.07163056373597
121.11,142.0130031275749
121.11,144.36309795856474
121.11,141.60569493055343
121.11,144.38472339272496
121.11,144.23501114845274
121.11,141.62247674584387
121.11,144.38472339272496
121.11,144.23501114845274
121.11,141.62247674584387
121.11,142.07163056373597
121.11,144.36309795856474
121.11,144.23501114845274
121.11,144.24185372114178
121.11,144.24185372114178
121.11,141.62247674584387
121.11,142.07163056373597
121.11,142.0130031275749
121.11,144.36309795856474
121.11,144.23501114845274
121.11,141.62247674584387
121.11,144.38472339272496
121.11,141.60569493055343
121.11,144.38472339272496
121.11,141.60569493055343
121.11,144.38472339272496
121.11,141.60569493055343
121.11,144.38472339272496
121.11,141.60569493055343
121.11,142.07163056373597
121.11,142.0130031275749
121.11,142.0130031275749
121.11,142.0130031275749
121.11,144.36309795856474
121.11,144.23501114845274
121.11,144.24185372114178
121.11,141.62247674584387
121.11,142.07163056373597
121.11,144.36309795856474
121.11,141.60569493055343
121.11,142.07163056373597
121.11,142.0130031275749
121.11,142.0130031275749
121.11,142.0130031275749
121.11,142.0130031275749
121.11,144.36309795856474
121.11,141.60569493055343
121.11,142.07163056373597
121.11,144.36309795856474
121.11,141.60569493055343
121.11,142.07163056373597
121.11,144.36309795856474
121.11,141.60569493055343
121.11,142.07163056373597
121.11,142.0130031275749
121.11,142.0130031275749
121.11,142.0130031275749
121.11,143.96696340084074
121.11,141.66028174638748
121.11,142.0633912861347
121.11,144.36309795856474
121.11,144.23501114845274
121.11,141.62247674584387
121.11,144.38472339272496
121.11,141.60569493055343
121.11,144.38472339272496
121.11,144.23501114845274
121.11,144.24185372114178
121.11,144.24185372114178
121.11,144.24185372114178
121.11,141.62247674584387
121.11,144.38472339272496
121.11,144.23501114845274
121.11,144.24185372114178
121.11,141.62247674584387
121.11,142.07163056373597
121.11,142.0130031275749
121.11,142.0130031275749
121.11,144.36309795856474
121.11,141.60569493055343
121.11,144.38472339272496
121.11,144.23501114845274
121.11,141.62247674584387
121.11,144.38472339272496
121.11,144.23501114845274
121.11,141.62247674584387
121.11,142.07163056373597
121.11,144.36309795856474
121.11,144.23501114845274
121.11,144.24185372114178
121.11,141.62247674584387
121.11,144.38472339272496
121.11,144.23501114845274
121.11,144.24185372114178
121.11,141.62247674584387
121.11,144.38472339272496
121.11,141.60569493055343
121.11,144.38472339272496
121.11,143.84224662184712
121.11,141.67732410907743
121.11,143.9846080124378
121.11,144.25710642218587
121.11,141.61925620913505
121.11,142.07163056373597
121.11,144.36309795856474
121.11,144.23501114845274
121.11,141.62247674584387
121.11,144.38472339272496
121.11,144.23501114845274
121.11,144.24185372114178
121.11,141.62247674584387
121.11,142.07163056373597
121.11,144.36309795856474
121.11,143.84224662184712
121.11,143.8698603749275
121.11,144.26252666234967
121.11,144.24061505317687
121.11,144.24185372114178
121.11,144.24185372114178
121.11,143.8488115620613
121.11,141.67732410907743
121.11,144.38170787692067
121.11,141.60569493055343
121.11,144.38472339272496
121.11,141.60569493055343
121.11,144.38472339272496
121.11,141.60569493055343
121.11,144.38472339272496
121.11,144.23501114845274
121.11,141.62247674584387
121.11,144.38472339272496
121.11,144.23501114845274
121.11,143.8488115620613
121.11,141.67732410907743
121.11,142.0633912861347
121.11,144.36309795856474
121.11,144.23501114845274
121.11,144.24185372114178
121.11,144.24185372114178
121.11,144.24185372114178
121.11,141.62247674584387
121.11,143.98746549129484
121.11,144.25710642218587
121.11,144.24061505317687
121.11,141.62247674584387
121.11,143.98746549129484
121.11,144.25710642218587
121.11,141.61925620913505
121.11,144.38472339272496
121.11,143.84224662184712
121.11,141.67732410907743
121.11,144.38170787692067
121.11,141.60569493055343
121.11,142.07163056373597
121.11,144.36309795856474
121.11,144.23501114845274
121.11,144.24185372114178
121.11,141.62247674584387
121.11,142.07163056373597
121.11,144.36309795856474
121.11,141.60569493055343
121.11,142.07163056373597
121.11,142.0130031275749
121.11,144.36309795856474
121.11,144.23501114845274
121.11,141.62247674584387
121.11,144.38472339272496
121.11,141.60569493055343
121.11,144.38472339272496
121.11,143.84224662184712
121.11,144.26371407508847
121.11,141.61925620913505
121.11,144.38472339272496
121.11,144.23501114845274
121.11,143.8488115620613
121.11,143.8698603749275
121.11,141.6741121149063
121.11,142.0633912861347
121.11,144.36309795856474
121.11,144.23501114845274
121.11,141.62247674584387
121.11,144.38472339272496
121.11,141.60569493055343
121.11,142.07163056373597
121.11,142.0130031275749
121.11,144.36309795856474
