,negative,neutral,positive,volume,close
0,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
1,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
2,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
3,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
4,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
5,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
6,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
7,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
8,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
9,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
10,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
11,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
12,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
13,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
14,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
15,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
16,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
17,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
18,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
19,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
20,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
21,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
22,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
23,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
24,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
25,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
26,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
27,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
28,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
29,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
30,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
31,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
32,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
33,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
34,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
35,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
36,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
37,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
38,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
39,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
40,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
41,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
42,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
43,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
44,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
45,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
46,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
47,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
48,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
49,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
50,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
51,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
52,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
53,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
54,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
55,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
56,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
57,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
58,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
59,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
60,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
61,0.0,1.0,0.0,0.15576118601999062,0.1519676248953391
62,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
63,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
64,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
65,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
66,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
67,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
68,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
69,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
70,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
71,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
72,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
73,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
74,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
75,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
76,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
77,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
78,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
79,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
80,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
81,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
82,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
83,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
84,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
85,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
86,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
87,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
88,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
89,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
90,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
91,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
92,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
93,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
94,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
95,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
96,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
97,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
98,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
99,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
100,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
101,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
102,0.0,1.0,0.0,0.15576118601999062,0.1519676248953391
103,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
104,0.0,1.0,0.0,0.15576118601999062,0.1519676248953391
105,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
106,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
107,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
108,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
109,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
110,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
111,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
112,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
113,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
114,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
115,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
116,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
117,0.0,1.0,0.0,0.15576118601999062,0.1519676248953391
118,0.0,1.0,0.0,0.15576118601999062,0.1519676248953391
119,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
120,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
121,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
122,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
123,0.0,1.0,0.0,0.15576118601999062,0.1519676248953391
124,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
125,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
126,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
127,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
128,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
129,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
130,1.0,0.0,0.0,0.15576118601999062,0.1519676248953391
131,0.0,0.0,1.0,0.15576118601999062,0.1519676248953391
